datetime,open,high,low,close,volume,Ticker
2020-04-20,69.48750,70.42000,69.21250,69.23250,130015200,AAPL
2020-04-21,69.070000,69.3125,66.35750,67.092499,180991600,AAPL
2020-04-22,68.40250,69.47500,68.050003,69.025002,116862400,AAPL
2020-04-23,68.96750,70.4375,68.71750,68.75750,124814400,AAPL
2020-04-24,69.30000,70.75250,69.25,70.74250,126161200,AAPL
2020-04-27,70.45000,71.13500,69.98750,70.79250,117087600,AAPL
2020-04-28,71.27000,71.45750,69.55000,69.64500,112004800,AAPL
2020-04-29,71.18250,72.41750,70.97250,71.93250,137280800,AAPL
2020-04-30,72.49000,73.63250,72.087502,73.45000,183064000,AAPL
2020-05-01,71.5625,74.75,71.46250,72.26750,240616800,AAPL
2020-05-04,72.29250,73.42250,71.58000,73.29000,133568000,AAPL
2020-05-05,73.76500,75.25,73.61500,74.39000,147751200,AAPL
2020-05-06,75.11500,75.81000,74.71750,75.15750,142333600,AAPL
2020-05-07,75.80500,76.29250,75.49250,75.93500,115215200,AAPL
2020-05-08,76.41000,77.58750,76.072502,77.53250,133838400,AAPL
2020-05-11,77.025002,79.26250,76.81000,78.75250,145946400,AAPL
2020-05-12,79.45750,79.92250,77.72750,77.85250,162301200,AAPL
2020-05-13,78.037498,78.98750,75.80250,76.91250,200622400,AAPL
2020-05-14,76.12750,77.44750,75.38250,77.38500,158929200,AAPL
2020-05-15,75.087502,76.97500,75.052498,76.92750,166348400,AAPL
2020-05-18,78.29250,79.125,77.58000,78.74000,135178400,AAPL
2020-05-19,78.75750,79.63000,78.25250,78.28500,101729600,AAPL
2020-05-20,79.17000,79.88000,79.13000,79.80750,111504800,AAPL
2020-05-21,79.66500,80.22250,78.96750,79.21250,102688800,AAPL
2020-05-22,78.94250,79.80750,78.83750,79.72250,81803200,AAPL
2020-05-26,80.875,81.059998,79.125,79.18250,125522000,AAPL
2020-05-27,79.035004,79.67750,78.27250,79.52750,112945200,AAPL
2020-05-28,79.19250,80.86000,78.90750,79.5625,133560800,AAPL
2020-05-29,79.8125,80.28750,79.11750,79.48500,153532400,AAPL
2020-06-01,79.4375,80.58750,79.30250,80.46250,80791200,AAPL
2020-06-02,80.1875,80.86000,79.73250,80.83500,87642800,AAPL
2020-06-03,81.16500,81.55000,80.57500,81.28000,104491200,AAPL
2020-06-04,81.097504,81.40500,80.19500,80.58000,87560400,AAPL
2020-06-05,80.83750,82.9375,80.80750,82.875,137250400,AAPL
2020-06-08,82.5625,83.40000,81.83000,83.36500,95654400,AAPL
2020-06-09,83.035004,86.40250,83.0025024,85.99750,147712400,AAPL
2020-06-10,86.97500,88.69250,86.52250,88.21000,166651600,AAPL
2020-06-11,87.32750,87.76500,83.87000,83.97500,201662400,AAPL
2020-06-12,86.18000,86.95000,83.55500,84.70000,200146000,AAPL
2020-06-15,83.3125,86.42000,83.14500,85.74750,138808800,AAPL
2020-06-16,87.86500,88.30000,86.18000,88.019997,165428800,AAPL
2020-06-17,88.78750,88.85000,87.77250,87.89750,114406400,AAPL
2020-06-18,87.85250,88.36250,87.30500,87.93250,96820400,AAPL
2020-06-19,88.66000,89.14000,86.28750,87.43000,264476000,AAPL
2020-06-22,87.83500,89.86500,87.78750,89.71750,135445200,AAPL
2020-06-23,91,93.095001,90.56750,91.63250,212155600,AAPL
2020-06-24,91.25,92.19750,89.63000,90.014999,192623200,AAPL
2020-06-25,90.17500,91.25,89.39250,91.21000,137522400,AAPL
2020-06-26,91.10250,91.33000,88.25500,88.40750,205256800,AAPL
2020-06-29,88.3125,90.54250,87.82000,90.44500,130646000,AAPL
2020-06-30,90.019997,91.49500,90,91.20000,140223200,AAPL
2020-07-01,91.28000,91.84000,90.97750,91.027496,110737200,AAPL
2020-07-02,91.96250,92.61750,90.91000,91.027496,114041600,AAPL
2020-07-06,92.5,93.94500,92.46750,93.46250,118655600,AAPL
2020-07-07,93.85250,94.65500,93.057503,93.17250,112424400,AAPL
2020-07-08,94.18000,95.375,94.089996,95.34250,117092000,AAPL
2020-07-09,96.26250,96.31750,94.67250,95.75250,125642800,AAPL
2020-07-10,95.33500,95.98000,94.70500,95.92000,90257200,AAPL
2020-07-13,97.26500,99.95500,95.25750,95.47750,191649200,AAPL
2020-07-14,94.84000,97.25500,93.87750,97.057503,170989200,AAPL
2020-07-15,98.99000,99.24750,96.49000,97.72500,153198000,AAPL
2020-07-16,96.5625,97.40500,95.90500,96.52250,110577600,AAPL
2020-07-17,96.98750,97.14750,95.84000,96.32750,92186800,AAPL
2020-07-20,96.41750,98.5,96.0625,98.35750,90318000,AAPL
2020-07-21,99.17250,99.25,96.74250,97,103433200,AAPL
2020-07-22,96.69250,97.97500,96.60250,97.27250,89001600,AAPL
2020-07-23,96.99750,97.077499,92.010002,92.84500,197004400,AAPL
2020-07-24,90.98750,92.97000,89.14500,92.61500,185438800,AAPL
2020-07-27,93.71000,94.90500,93.48000,94.81000,121214000,AAPL
2020-07-28,94.36750,94.55000,93.24750,93.25250,103625600,AAPL
2020-07-29,93.75,95.23000,93.71250,95.040001,90329200,AAPL
2020-07-30,94.1875,96.29750,93.76750,96.19000,158130000,AAPL
2020-07-31,102.88500,106.41500,100.82500,106.26000,374336800,AAPL
2020-08-03,108.20000,111.63750,107.89250,108.9375,308151200,AAPL
2020-08-04,109.13250,110.79000,108.38750,109.66500,173071600,AAPL
2020-08-05,109.37750,110.39250,108.89750,110.0625,121776800,AAPL
2020-08-06,110.40500,114.41250,109.79750,113.90250,202428800,AAPL
2020-08-07,113.20500,113.67500,110.29250,111.11250,198045600,AAPL
2020-08-10,112.60000,113.77500,110,112.72750,212403600,AAPL
2020-08-11,111.97000,112.48250,109.10750,109.375,187902400,AAPL
